key,last_seen_at,system,status
CUST-00024,2024-12-08T00:00:00,A,active
TXN-2023-092,2024-12-23T23:00:00,A,active
CUST-00094,2024-12-24T10:00:00,A,active
ORD-329258,2024-12-17T12:00:00,A,active
CUST-00052,2024-12-08T19:00:00,A,active
TXN-2023-034,2024-12-31T01:00:00,A,active
ORD-267414,2024-12-24T16:00:00,A,active
KEY_000000,2024-12-29T16:00:00,A,active
TXN-2023-078,2024-12-31T12:00:00,A,active
TXN-2023-074,2024-12-02T05:00:00,A,active
TXN-2023-026,2024-12-26T12:00:00,A,active
TXN-2023-002,2024-12-13T08:00:00,A,active
ORD-338968,2024-12-25T08:00:00,A,active
key-000000,2024-12-16T15:00:00,A,active
 CUST-00056 ,2024-12-28T18:00:00,A,active
CUST-00098,2024-12-02T06:00:00,A,active
ORD-850800,2024-12-17T14:00:00,A,active
CUST-00012,2024-12-24T01:00:00,A,active
CUST-00004,2024-12-26T17:00:00,A,active
ORD-892495,2024-12-12T13:00:00,A,active
CUST-00008,2024-12-10T09:00:00,A,active
CUST-00048,2024-12-08T07:00:00,A,active
KEY_000000,2024-12-02T03:00:00,A,active
PROD-RFI-069,2024-12-28T18:00:00,A,active
CUST-00072,2025-01-01T03:00:00,A,active
ORD-334053,2024-12-13T15:00:00,A,active
PROD-UZW-049,2024-12-03T00:00:00,A,active
 CUST-00000 ,2024-12-19T14:00:00,A,active
TXN-2023-042,2024-12-26T10:00:00,A,active
KEY_000000,2024-12-13T14:00:00,A,active
PROD-UFA-073,2024-12-05T16:00:00,A,active
PROD-QOF-017,2024-12-25T09:00:00,A,active
PROD-IGB-033,2024-12-10T03:00:00,A,active
TXN-2023-014,2024-12-04T15:00:00,A,active
PROD-BCQ-099,2024-12-13T09:00:00,A,active
CUST-00028,2024-12-06T18:00:00,A,active
PROD-PXK-091,2024-12-07T11:00:00,A,active
CUST-00068,2024-12-20T19:00:00,A,active
TXN-2023-010,2024-12-18T15:00:00,A,active
ORD-329974,2024-12-21T10:00:00,A,active
PROD-GPO-013,2024-12-15T16:00:00,A,active
ORD-864544,2024-12-22T12:00:00,A,active
key-000000,2024-12-04T23:00:00,A,active
 PROD-KBX-077 ,2024-12-05T21:00:00,A,active
ORD-430776,2024-12-28T23:00:00,A,active
ORD-479201,2024-12-02T01:00:00,A,active
PROD-HQX-041,2024-12-11T22:00:00,A,active
ORD-988662,2024-12-10T08:00:00,A,active
KEY  000000,2024-12-19T07:00:00,A,active
TXN-2023-066,2024-12-08T20:00:00,A,active
KEY  000000,2024-12-01T16:00:00,A,active
PROD-CKA-009,2024-12-23T17:00:00,A,active
 CUST-00040 ,2024-12-06T19:00:00,A,active
PROD-GMH-065,2024-12-07T21:00:00,A,active
 PROD-QPE-061 ,2024-12-17T23:00:00,A,active
TXN-2023-022!@#$%,2024-12-05T13:00:00,A,active
PROD-NZJ-037,2024-12-14T04:00:00,A,active
TXN-2023-006,2024-12-22T05:00:00,A,active
PROD-JLV-053,2024-12-06T10:00:00,A,active
TXN-2023-050,2024-12-23T22:00:00,A,active
PROD-PSB-045,2024-12-24T22:00:00,A,active
PROD-SIE-025,2024-12-13T17:00:00,A,active
 ORD-694731 ,2024-12-11T00:00:00,A,active
CUST-00032,2024-12-22T12:00:00,A,active
PROD-ZDM-095,2024-12-17T02:00:00,A,active
PROD-HWT-021,2024-12-26T21:00:00,A,active
PROD-ICC-029,2024-12-26T01:00:00,A,active
TXN-2023-062,2024-12-07T04:00:00,A,active
TXN-2023-046,2024-12-22T04:00:00,A,active
 TXN-2023-058 ,2024-12-03T17:00:00,A,active
CUST-00060,2024-12-10T04:00:00,A,active
 ORD-671858 ,2024-12-15T12:00:00,A,active
ORD-581741!@#$%,2024-12-16T06:00:00,A,active
PROD-QAH-001,2024-12-30T05:00:00,A,active
CUST-00036,2024-12-08T23:00:00,A,active
ORD-205907,2024-12-16T19:00:00,A,active
TXN-2023-038,2024-12-08T05:00:00,A,active
ORD-816751,2024-12-09T21:00:00,A,active
PROD-JFG-057,2024-12-11T14:00:00,A,active
ORD-905635,2024-12-16T22:00:00,A,active
CUST-00064,2024-12-07T12:00:00,A,active
PROD-DCT-005,2024-12-30T03:00:00,A,active
ORD-771088,2024-12-25T00:00:00,A,active
TXN-2023-096,2024-12-10T05:00:00,A,active
KEY  000000,2024-12-22T15:00:00,A,active
TXN-2023-054,2024-12-14T01:00:00,A,active
ORD-717889,2024-12-16T19:00:00,A,active
ORD-900581,2024-12-16T01:00:00,A,active
CUST-00090,2024-12-18T13:00:00,A,active
CUST-00020,2024-12-15T02:00:00,A,active
